"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18055","PA","Allentown-Bethlehem-Easton, PA-NJ",9677,67,13.6986301369863,75.5,1.17647058823529,8.35862068965517
"Zip","18080","PA","Allentown-Bethlehem-Easton, PA-NJ",9850,67,17.7777777777778,98,4.41176470588235,8.35862068965517
"Zip","18071","PA","Allentown-Bethlehem-Easton, PA-NJ",9988,67,14,88,2.64705882352941,8.35862068965517
"Zip","18031","PA","Allentown-Bethlehem-Easton, PA-NJ",10196,67,22.7272727272727,73,4.11764705882353,8.35862068965517
"Zip","18229","PA","Allentown-Bethlehem-Easton, PA-NJ",10232,67,14.0495867768595,146.5,5.29411764705882,8.35862068965517
"Zip","18210","PA","Allentown-Bethlehem-Easton, PA-NJ",10445,67,17.8832116788321,110.5,6.76470588235294,8.35862068965517
"Zip","18088","PA","Allentown-Bethlehem-Easton, PA-NJ",10474,67,25,85,8.52941176470588,8.35862068965517
"Zip","07825","NJ","Allentown-Bethlehem-Easton, PA-NJ",10554,67,22.1374045801527,116,9.11764705882353,8.35862068965517
"Zip","07823","NJ","Allentown-Bethlehem-Easton, PA-NJ",10601,67,18.8888888888889,99,5.88235294117647,8.35862068965517
"Zip","18034","PA","Allentown-Bethlehem-Easton, PA-NJ",10697,67,16.6666666666667,76,1.47058823529412,8.35862068965517
"Zip","18072","PA","Allentown-Bethlehem-Easton, PA-NJ",10851,67,26.530612244898,83.5,8.82352941176471,8.35862068965517
"Zip","08886","NJ","Allentown-Bethlehem-Easton, PA-NJ",10916,67,20.5882352941176,98,7.05882352941176,8.35862068965517
"Zip","79109","TX","Amarillo, TX",2737,181,28.9902280130293,70,6.36363636363636,9.42068965517241
"Zip","79106","TX","Amarillo, TX",5511,181,26.0869565217391,74,7.27272727272727,9.42068965517241
"Zip","79107","TX","Amarillo, TX",6289,181,21.7391304347826,113,10,9.42068965517241
"Zip","79118","TX","Amarillo, TX",7253,181,20.4444444444444,80,2.72727272727273,9.42068965517241
"Zip","79015","TX","Amarillo, TX",7589,181,18.562874251497,73,0.909090909090909,9.42068965517241
"Zip","79119","TX","Amarillo, TX",8147,181,23.0769230769231,81,9.09090909090909,9.42068965517241
"Zip","79110","TX","Amarillo, TX",8435,181,24.7422680412371,69,1.81818181818182,9.42068965517241
"Zip","79108","TX","Amarillo, TX",9887,181,19.047619047619,106,4.54545454545455,9.42068965517241
"Zip","79124","TX","Amarillo, TX",10224,181,20,101,5.45454545454545,9.42068965517241
"Zip","79102","TX","Amarillo, TX",10265,181,33.3333333333333,64,3.63636363636364,9.42068965517241
"Zip","79121","TX","Amarillo, TX",10836,181,22.3880597014925,83.5,8.18181818181818,9.42068965517241
"Zip","99504","AK","Anchorage, AK",4015,133,29.1545189504373,85,9.23076923076923,9.36551724137931
"Zip","99507","AK","Anchorage, AK",4617,133,24.5664739884393,70,2.30769230769231,9.36551724137931
"Zip","99508","AK","Anchorage, AK",5485,133,24.4791666666667,107,8.46153846153846,9.36551724137931
"Zip","99654","AK","Anchorage, AK",6324,133,21.875,88,4.61538461538461,9.36551724137931
"Zip","99645","AK","Anchorage, AK",6643,133,18.1229773462783,71.5,0.769230769230769,9.36551724137931
"Zip","99577","AK","Anchorage, AK",6863,133,27.3224043715847,77,5.38461538461539,9.36551724137931
"Zip","99502","AK","Anchorage, AK",7437,133,28.2511210762332,80,6.92307692307692,9.36551724137931
"Zip","99501","AK","Anchorage, AK",7984,133,19.7530864197531,126.5,6.15384615384615,9.36551724137931
"Zip","99515","AK","Anchorage, AK",8019,133,23.6559139784946,76,3.84615384615385,9.36551724137931
"Zip","99516","AK","Anchorage, AK",8603,133,22.3076923076923,66,1.53846153846154,9.36551724137931
"Zip","99517","AK","Anchorage, AK",8675,133,18.2539682539683,81,3.07692307692308,9.36551724137931
"Zip","99518","AK","Anchorage, AK",10183,133,44.3396226415094,76,7.69230769230769,9.36551724137931
"Zip","99567","AK","Anchorage, AK",10504,133,29.3577981651376,93,10,9.36551724137931
"Zip","48197","MI","Ann Arbor, MI",1722,148,18.9964157706093,52,2.5,1.91724137931034
"Zip","48103","MI","Ann Arbor, MI",2028,148,19.3853427895981,51,1.66666666666667,1.91724137931034
"Zip","48198","MI","Ann Arbor, MI",3567,148,12.8571428571429,50,0.833333333333333,1.91724137931034
"Zip","48104","MI","Ann Arbor, MI",3587,148,18.0851063829787,56.5,5,1.91724137931034
"Zip","48105","MI","Ann Arbor, MI",4105,148,18.2795698924731,55,3.75,1.91724137931034
"Zip","48108","MI","Ann Arbor, MI",6072,148,22.4489795918367,54,8.33333333333333,1.91724137931034
"Zip","48176","MI","Ann Arbor, MI",7675,148,17.877094972067,59.5,5.83333333333333,1.91724137931034
"Zip","48130","MI","Ann Arbor, MI",9186,148,14.207650273224,60,3.75,1.91724137931034
"Zip","48189","MI","Ann Arbor, MI",9348,148,22,56,9.16666666666667,1.91724137931034
"Zip","48118","MI","Ann Arbor, MI",9402,148,15.8730158730159,66,7.5,1.91724137931034
"Zip","48160","MI","Ann Arbor, MI",9779,148,19.4805194805195,69,10,1.91724137931034
"Zip","48158","MI","Ann Arbor, MI",10721,148,14.0350877192982,82,6.66666666666667,1.91724137931034
"Zip","28806","NC","Asheville, NC",3094,118,23.0769230769231,58,3.6,6.73103448275862
"Zip","28803","NC","Asheville, NC",4133,118,21.7647058823529,62,3.2,6.73103448275862
"Zip","28792","NC","Asheville, NC",4577,118,16.6666666666667,59,1.2,6.73103448275862
"Zip","28715","NC","Asheville, NC",5869,118,26.5895953757225,72.5,8.4,6.73103448275862
"Zip","28786","NC","Asheville, NC",6535,118,12.7049180327869,104,2.8,6.73103448275862
"Zip","28804","NC","Asheville, NC",6734,118,21.5596330275229,71,4,6.73103448275862
"Zip","28787","NC","Asheville, NC",6749,118,23.7569060773481,83,9.2,6.73103448275862
"Zip","28704","NC","Asheville, NC",6815,118,21.6931216931217,71.5,4.8,6.73103448275862
"Zip","28739","NC","Asheville, NC",7140,118,14.4200626959248,79,2.4,6.73103448275862
"Zip","28805","NC","Asheville, NC",7559,118,30.9859154929577,74,8.8,6.73103448275862
"Zip","28716","NC","Asheville, NC",8035,118,20.1612903225806,83,6.4,6.73103448275862
"Zip","28732","NC","Asheville, NC",8094,118,13.9240506329114,55,0.4,6.73103448275862
"Zip","28801","NC","Asheville, NC",8382,118,15.3225806451613,72,2,6.73103448275862
"Zip","28711","NC","Asheville, NC",8792,118,22.3880597014925,86,8,6.73103448275862
"Zip","28791","NC","Asheville, NC",8996,118,16.5714285714286,64,1.6,6.73103448275862
"Zip","28748","NC","Asheville, NC",9390,118,21.5909090909091,114.5,9.6,6.73103448275862
"Zip","28753","NC","Asheville, NC",9544,118,17.5675675675676,91,7.2,6.73103448275862
"Zip","28721","NC","Asheville, NC",9724,118,16.0377358490566,86,5.2,6.73103448275862
"Zip","28778","NC","Asheville, NC",9952,118,23.4375,63,6,6.73103448275862
"Zip","28731","NC","Asheville, NC",10080,118,13.2075471698113,72,0.8,6.73103448275862
"Zip","28730","NC","Asheville, NC",10095,118,23.0769230769231,108,10,6.73103448275862
"Zip","28754","NC","Asheville, NC",10389,118,14.2857142857143,105.5,5.6,6.73103448275862
"Zip","28785","NC","Asheville, NC",10407,118,14.5454545454545,109,7.6,6.73103448275862
"Zip","28759","NC","Asheville, NC",10698,118,23.6842105263158,64,6.8,6.73103448275862
"Zip","28751","NC","Asheville, NC",10922,118,13.8121546961326,92,4.4,6.73103448275862
"Zip","30349","GA","Atlanta-Sandy Springs-Roswell, GA",1464,9,10.1123595505618,80,4.67532467532468,2.30344827586207
"Zip","30044","GA","Atlanta-Sandy Springs-Roswell, GA",1557,9,15.2830188679245,52,1.55844155844156,2.30344827586207
"Zip","30043","GA","Atlanta-Sandy Springs-Roswell, GA",1574,9,19.2868719611021,50,3.57142857142857,2.30344827586207
"Zip","30096","GA","Atlanta-Sandy Springs-Roswell, GA",1642,9,20.7446808510638,51.5,4.54545454545455,2.30344827586207
"Zip","30024","GA","Atlanta-Sandy Springs-Roswell, GA",1693,9,20.4406364749082,57,6.1038961038961,2.30344827586207
"Zip","30281","GA","Atlanta-Sandy Springs-Roswell, GA",1773,9,9.58904109589041,59,1.2987012987013,2.30344827586207
"Zip","30040","GA","Atlanta-Sandy Springs-Roswell, GA",1898,9,20.8425720620843,61,7.85714285714286,2.30344827586207
"Zip","30188","GA","Atlanta-Sandy Springs-Roswell, GA",1927,9,17.1029668411867,50,2.33766233766234,2.30344827586207
"Zip","30318","GA","Atlanta-Sandy Springs-Roswell, GA",1967,9,12.4210526315789,48.5,0.649350649350649,2.30344827586207
"Zip","30080","GA","Atlanta-Sandy Springs-Roswell, GA",1994,9,19.0283400809717,56,4.93506493506494,2.30344827586207
"Zip","30052","GA","Atlanta-Sandy Springs-Roswell, GA",2007,9,19.2073170731707,64,8.44155844155844,2.30344827586207
"Zip","30041","GA","Atlanta-Sandy Springs-Roswell, GA",2008,9,25.9312320916905,63,9.41558441558442,2.30344827586207
"Zip","30062","GA","Atlanta-Sandy Springs-Roswell, GA",2023,9,24.5243128964059,56,7.66233766233766,2.30344827586207
"Zip","30331","GA","Atlanta-Sandy Springs-Roswell, GA",2032,9,14.3661971830986,77,6.49350649350649,2.30344827586207
"Zip","30022","GA","Atlanta-Sandy Springs-Roswell, GA",2095,9,21.5789473684211,57,7.07792207792208,2.30344827586207
"Zip","30004","GA","Atlanta-Sandy Springs-Roswell, GA",2151,9,20.3370786516854,58,6.36363636363636,2.30344827586207
"Zip","30127","GA","Atlanta-Sandy Springs-Roswell, GA",2153,9,16.017316017316,56,2.85714285714286,2.30344827586207
"Zip","30135","GA","Atlanta-Sandy Springs-Roswell, GA",2215,9,15.8964879852126,63,5.12987012987013,2.30344827586207
"Zip","30253","GA","Atlanta-Sandy Springs-Roswell, GA",2322,9,9.85130111524164,80,4.28571428571429,2.30344827586207
"Zip","30263","GA","Atlanta-Sandy Springs-Roswell, GA",2375,9,13.3333333333333,68,4.48051948051948,2.30344827586207
"Zip","30066","GA","Atlanta-Sandy Springs-Roswell, GA",2397,9,26.0683760683761,51,6.75324675324675,2.30344827586207
"Zip","30101","GA","Atlanta-Sandy Springs-Roswell, GA",2467,9,20.3252032520325,48,3.31168831168831,2.30344827586207
"Zip","30058","GA","Atlanta-Sandy Springs-Roswell, GA",2478,9,10.1369863013699,66.5,3.05194805194805,2.30344827586207
"Zip","30047","GA","Atlanta-Sandy Springs-Roswell, GA",2492,9,16.8341708542714,51,2.5974025974026,2.30344827586207
"Zip","30083","GA","Atlanta-Sandy Springs-Roswell, GA",2500,9,13.6507936507937,59,2.46753246753247,2.30344827586207
"Zip","30075","GA","Atlanta-Sandy Springs-Roswell, GA",2557,9,22.2602739726027,63.5,9.15584415584416,2.30344827586207
"Zip","30067","GA","Atlanta-Sandy Springs-Roswell, GA",2590,9,23.6301369863014,50,5.51948051948052,2.30344827586207
"Zip","30144","GA","Atlanta-Sandy Springs-Roswell, GA",2639,9,14.2857142857143,47,0.909090909090909,2.30344827586207
"Zip","30319","GA","Atlanta-Sandy Springs-Roswell, GA",2718,9,20,57,5.71428571428571,2.30344827586207
"Zip","30114","GA","Atlanta-Sandy Springs-Roswell, GA",2728,9,18.2656826568266,63,7.01298701298701,2.30344827586207
"Zip","30016","GA","Atlanta-Sandy Springs-Roswell, GA",2946,9,11.4973262032086,87,5.97402597402597,2.30344827586207
"Zip","30032","GA","Atlanta-Sandy Springs-Roswell, GA",3013,9,25.2173913043478,52,6.62337662337662,2.30344827586207
"Zip","30236","GA","Atlanta-Sandy Springs-Roswell, GA",3072,9,13.0044843049327,72,5,2.30344827586207
"Zip","30093","GA","Atlanta-Sandy Springs-Roswell, GA",3161,9,7.27272727272727,46,0.0649350649350649,2.30344827586207
"Zip","30064","GA","Atlanta-Sandy Springs-Roswell, GA",3211,9,20.6349206349206,55,5.38961038961039,2.30344827586207
"Zip","30518","GA","Atlanta-Sandy Springs-Roswell, GA",3239,9,22.6086956521739,57,7.53246753246753,2.30344827586207
"Zip","30309","GA","Atlanta-Sandy Springs-Roswell, GA",3248,9,11.734693877551,50,0.714285714285714,2.30344827586207
"Zip","30034","GA","Atlanta-Sandy Springs-Roswell, GA",3437,9,14.8698884758364,76,6.81818181818182,2.30344827586207
"Zip","30076","GA","Atlanta-Sandy Springs-Roswell, GA",3446,9,28.3870967741935,52,7.33766233766234,2.30344827586207
"Zip","30097","GA","Atlanta-Sandy Springs-Roswell, GA",3452,9,23.2989690721649,70,9.67532467532468,2.30344827586207
"Zip","30324","GA","Atlanta-Sandy Springs-Roswell, GA",3479,9,14.0762463343109,49,1.03896103896104,2.30344827586207
"Zip","30339","GA","Atlanta-Sandy Springs-Roswell, GA",3532,9,16.8384879725086,50,1.98051948051948,2.30344827586207
"Zip","30350","GA","Atlanta-Sandy Springs-Roswell, GA",3654,9,16.5605095541401,53,2.66233766233766,2.30344827586207
"Zip","30519","GA","Atlanta-Sandy Springs-Roswell, GA",3739,9,20.6654991243433,58.5,6.88311688311688,2.30344827586207
"Zip","30328","GA","Atlanta-Sandy Springs-Roswell, GA",3744,9,22.2672064777328,60,8.31168831168831,2.30344827586207
"Zip","30039","GA","Atlanta-Sandy Springs-Roswell, GA",3808,9,16.8141592920354,55,3.37662337662338,2.30344827586207
"Zip","30120","GA","Atlanta-Sandy Springs-Roswell, GA",3813,9,17.7700348432056,59,5.19480519480519,2.30344827586207
"Zip","30228","GA","Atlanta-Sandy Springs-Roswell, GA",3858,9,16.8316831683168,87,9.35064935064935,2.30344827586207
"Zip","30680","GA","Atlanta-Sandy Springs-Roswell, GA",3872,9,15.7894736842105,56,2.72727272727273,2.30344827586207
