Zip,Median_Value_Per_SQFT_2017-09_to_2018_08_avg,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,Sale_Price_2017-08_to_2018-07_avg
32608,125.0833333,11.80583333,
27705,140.75,13.98,
11368,593.4166667,22.75833333,
77083,82.66666667,9.668333333,
28205,196.3333333,13.8175,
29485,117.25,11.745,
15301,98.66666667,11.43083333,139941.6667
33511,119.6666667,12.04166667,197833.3333
85345,131.4166667,13.53666667,199741.6667
94513,260.25,18.30916667,594316.6667
75211,110.0833333,8.254166667,
6516,138.0833333,8.743333333,162175
17331,108.6666667,11.36083333,
92154,290.3333333,16.68583333,
92104,539.25,20.85166667,564175
87124,110.25,11.62916667,191125
97045,210.8333333,16.44333333,388341.6667
78251,97.91666667,10.7425,188966.6667
92115,387,16.595,473391.6667
30263,91.66666667,11.3075,
63129,127.4166667,12.63833333,214958.3333
32765,146.8333333,14.1075,283400
85204,146.25,14.07333333,209691.6667
37040,94,11.86416667,
1960,255.75,15.28083333,396841.6667
21224,142.5,11.79666667,180633.3333
85022,159.5833333,15.36,260108.3333
78741,205.1666667,11.82666667,
89110,129.75,13.63083333,
11203,340.0833333,19.71416667,
20852,342.0833333,16.15083333,421316.6667
34293,147.5833333,10.5325,226000
30066,126.75,13.17083333,253991.6667
28215,98.91666667,11.24583333,167258.3333
74133,83.66666667,11.0575,
92646,461.4166667,20.38166667,688625
94587,524.4166667,22.99583333,848183.3333
27519,155.0833333,17.115,385641.6667
95355,188.5833333,16.89833333,
83301,114.3333333,12.2525,
33458,203.8333333,12.405,342966.6667
94568,500.75,22.82583333,876566.6667
21061,189.0833333,12.22333333,238183.3333
77346,89.25,10.0975,211650
59901,184.75,13.52666667,
98632,143.75,13.3075,
97401,199.8333333,17.10583333,
89148,149.75,16.74833333,
37027,187.1666667,15.42416667,537975
29579,105.6666667,10.51583333,
37421,108.4166667,10.93166667,191283.3333
60148,178.25,11.90833333,232083.3333
42701,92.5,11.60333333,
92376,223.0833333,15.195,319408.3333
95670,220,15.9075,318741.6667
19134,39.33333333,4.990833333,
11216,761.3333333,31.04,
23322,158.1666667,14.31166667,333891.6667
28227,109.5833333,11.80416667,182583.3333
95014,1144.583333,39.81416667,2065750
43229,105,10.03666667,143833.3333
19067,180.5833333,13.825,331516.6667
60608,214.5833333,12.03,281716.6667
45044,90.5,9.818333333,
79924,71.58333333,8.790833333,101725
38305,73.41666667,10.16333333,
92620,460.5833333,21.76916667,887800
33414,170.9166667,12.33,358566.6667
28210,167.8333333,15.9175,
85008,154.25,13.11916667,
92105,361.9166667,16.12666667,391508.3333
45013,94,10.0325,127658.3333
89103,137.8333333,12.24166667,
37129,130.1666667,13.63083333,228466.6667
33433,173.9166667,11.14666667,281358.3333
55124,175.5833333,13.18083333,251675
67401,98.58333333,10.16416667,
30101,114.25,12.27166667,237541.6667
94080,710.5833333,22.97166667,931283.3333
32825,133.9166667,12.84583333,228383.3333
78664,125.8333333,11.4075,220183.3333
89074,155.75,16.3275,279525
14094,94.91666667,10.1075,
92122,464.75,19.6125,
20910,367.75,17.82583333,460333.3333
77375,99.25,9.906666667,203925
27265,91,10.99916667,168591.6667
47150,94.83333333,9.919166667,
23455,158.5,14.52666667,267583.3333
41042,98.33333333,10.11,141075
12180,113.5,9.695833333,154666.6667
33015,173.0833333,11.39083333,232425
78254,106,11.045,212433.3333
78753,160.8333333,12.1075,243050
30047,96.5,12.07166667,
96706,444.3333333,20.6675,
92648,504.5,21.47666667,924366.6667
8759,110.3333333,9.031666667,
53704,174.5833333,12.27666667,206925
32303,100.1666667,10.26916667,
48439,102,11.26333333,
94112,810.5,22.45416667,1030041.667
7047,219.25,14.65583333,
98208,265.5833333,17.56333333,427500
78759,202.5833333,16.2375,404783.3333
95648,245,17.6825,433166.6667
95112,637.5,23.165,843400
10014,1881.166667,26.00333333,
84404,174.5,13.29083333,
76179,106.9166667,10.925,209525
19148,191.75,13.45333333,191491.6667
33463,139.8333333,11.02166667,226975
94087,1188.416667,41.10333333,2006758.333
7305,237.1666667,13.22166667,
27407,84.33333333,10.45916667,135575
90640,350.75,18.57083333,498916.6667
83646,147.8333333,14.14,279458.3333
39759,88.25,11.71833333,
33141,273.5833333,11.915,258025
77070,89.08333333,10.2175,
20904,220.6666667,14.875,399483.3333
1201,119.5833333,10.13833333,
75204,227.0833333,13.7175,363058.3333
2135,554.5,17.1725,430483.3333
32771,121.25,12.3275,216200
2151,258.6666667,13.6725,362841.6667
53711,201.4166667,14.245,267200
19131,76.66666667,7.486666667,
95125,783.0833333,31.25083333,1352741.667
92130,480.3333333,21.54833333,978491.6667
33436,144.75,11.21833333,268325
11354,665.75,24.52,
75070,129.3333333,13.79416667,308058.3333
89147,152.6666667,16.25916667,249075
8873,181.1666667,12.42916667,
54601,110.25,11.00666667,
30075,159.5833333,14.85333333,
75034,142.1666667,13.88166667,392083.3333
78209,200.4166667,12.99583333,
90036,809.3333333,24.4075,1547508.333
97124,217.9166667,17.225,369158.3333
98034,369.5833333,22.23666667,584375
33021,173.6666667,11.71166667,241108.3333
6511,116.3333333,10.28416667,
96815,743.5,18.13333333,
33324,165.1666667,10.84583333,222366.6667
22407,153,13.68333333,256558.3333
85255,254.25,16.5575,624833.3333
59102,173.75,13.84583333,
45140,121.3333333,11.44416667,
34668,80.16666667,9.1425,106783.3333
92562,200.4166667,16.345,414850
2780,184.8333333,13.43,256391.6667
76137,107.9166667,11.14333333,207066.6667
43302,61.16666667,8.055,
30067,138.8333333,12.95,
92117,467.4166667,19.97333333,628266.6667
73013,102.6666667,11.3675,199208.3333
63301,128.4166667,10.875,179208.3333
22201,530.8333333,18.45916667,558125
60004,209.9166667,13.2375,
85201,135.75,12.915,
17601,138.25,14.32333333,
29483,117,11.47083333,198750
8527,171.0833333,14.13583333,329733.3333
92563,177,16.08583333,413741.6667
29588,105.25,10.25583333,
79424,98.5,9.894166667,
22192,207.8333333,14.715,327941.6667
80219,317.5,14.11916667,301325
92128,383,19.82083333,583808.3333
19711,140.1666667,13.6075,250758.3333
75098,122.25,12.3725,252941.6667
91801,453,20.22166667,597450
48066,79.16666667,7.7,85825
85383,150.9166667,16.4075,
78748,164.25,13.30083333,276966.6667
83709,150.0833333,14.6625,250200
7728,185.0833333,12.76,305000
91331,354.3333333,15.47416667,451733.3333
94591,258.8333333,16.63416667,
30907,89.83333333,11.24166667,145975
19380,182.8333333,14.60666667,377175
28025,103.0833333,11.965,
94086,1047.166667,37.8375,1450641.667
19702,127.75,12.55333333,205025
30144,110.75,11.96916667,205450
33023,191,11.16,226833.3333
72034,96.41666667,11.91416667,
38654,82.41666667,10.115,
23456,151.0833333,14.85916667,337233.3333
61761,139.0833333,10.345,
45424,75.08333333,9.410833333,
78223,94.75,9.2,
45040,128.5833333,11.14083333,
90042,609.25,22.00666667,682625
27106,94.83333333,11.53916667,167691.6667
80016,207.9166667,16.40166667,498991.6667
76051,156.5,12.2975,324933.3333
92020,312.8333333,17.56833333,
94553,387.9166667,18.24166667,565141.6667
97504,173.3333333,15.10166667,
78520,63.75,7.816666667,
93308,130.8333333,12.8525,177650
23112,126.4166667,13.04083333,253591.6667
10466,301.9166667,18.87666667,368550
92882,261.1666667,16.90333333,462658.3333
27603,124.1666667,13.09583333,229191.6667
34748,97.75,10.76916667,
29229,122.75,9.88,147150
78253,105.5,11.54583333,245516.6667
94015,780.75,23.045,974258.3333
85351,108.9166667,11.6425,151133.3333
24060,132.5833333,13.86666667,
32137,124.8333333,13.34333333,229454.5455
92399,208.9166667,16.22166667,356608.3333
98225,300,19.13083333,
75115,92,10.2875,212100
97206,303.6666667,17.83833333,362433.3333
