Zip,FILTER_Median_Value_Per_SQFT_2017-09_to_2018_08,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,FILTER_Sale_Price_2017-08_to_2018-07_avg,PctPriceCut,BuyerSellerIndex,MarketHealthIndex,FILTER_ZHVI,YoY,ForecastYoYPctChange,DaysOnMarket_Average,median_value_per_sqft_avg_scaled_0_1,SCORING_price_to_rent_ratio_scaled_0_1,SCORING_buyer_seller_index_scaled_0_1,SCORING_market_health_index_scaled_0_1,FILTER_days_on__market_bin,SCORING_days_on_market_scaled_0_1
25314,96.0,11.1,,,,,,,,,0.03832576903681291,0.210304377827187,NA,NA,NA,NA
35967,51.33333333,10.68333333,,,,,,,,,0.01580097495209279,0.1996558391474354,NA,NA,NA,NA
33545,116.75,12.57166667,241016.6667,28.93401015,9.596774194,5.700870046,229100.0,4.70749543,0.05001746,84.0,0.04878971255673222,0.24791501622837284,0.9596774194,0.5700870046000001,less than 90 days,0.1148936170212766
39367,56.5,8.224166667,,,,,,,,,0.018406454866364094,0.13680816445603006,NA,NA,NA,NA
2359,213.0833333,15.465,364450.0,15.30612245,5.481481481,1.782902914,387000.0,1.895734597,0.10348062,67.0,0.09736930574886535,0.32185846814383196,0.5481481481,0.1782902914,less than 90 days,0.07872340425531915
11356,524.0,26.79666667,,8.108108108,4.648370497,5.15812733,721400.0,7.639510594,0.052414749,151.5,0.25416036308623297,0.6114561238467634,0.4648370497,0.515812733,120+ days,0.25851063829787235
90212,994.4166667,24.3925,,,,,,,,,0.4913851067574382,0.5500140560709449,NA,NA,NA,NA
96732,389.5833333,20.335,,,,,,,,,0.1863758614725164,0.44631858723708767,NA,NA,NA,NA
19001,165.0833333,12.07916667,253750.0,18.82352941,2.0,1.787045988,255800.0,3.520841764,0.063893667,61.5,0.07316355688350983,0.235328443609599,0.2,0.1787045988,less than 90 days,0.06702127659574468
97216,248.3333333,15.66666667,320558.3333,29.06976744,6.582278481,7.494130645,327600.0,3.311258278,0.035763126,50.0,0.11514540257186082,0.3270123609087889,0.6582278481,0.7494130645,less than 60 days,0.0425531914893617
6351,140.0833333,11.2425,,16.0,1.428571429,0.314183124,196900.0,-0.455005056,0.085520569,86.75,0.06055639601613716,0.21394617802652763,0.1428571429,0.031418312399999995,less than 90 days,0.12074468085106382
16504,63.33333333,7.279166667,,22.07792208,8.333333333,3.081756663,80600.0,7.323568575,0.008635236,126.0,0.02185241216843167,0.11265727892356053,0.8333333333,0.30817566630000004,120+ days,0.20425531914893616
93111,556.1666667,20.6575,,19.40298507,3.571428571,6.932744096,914600.0,4.15670197,0.024916904,58.25,0.2703815767523953,0.4545605561092796,0.35714285710000004,0.6932744096000001,less than 60 days,0.0601063829787234
33305,294.75,13.39833333,,16.15720524,6.781609195,6.405192653,445700.0,4.111188975,0.032472515,95.5,0.1385526979324256,0.26904171662960974,0.6781609195,0.6405192653,less than 120 days,0.13936170212765958
60118,120.5,11.6225,233416.6667,26.70807453,9.26910299,0.938406297,253500.0,3.090687271,0.063349112,88.5,0.05068078668683813,0.22365764522476936,0.926910299,0.0938406297,less than 90 days,0.12446808510638298
55108,207.4166667,13.91,,,,,,,,,0.09451168265254666,0.2821181221089218,NA,NA,NA,NA
15214,72.0,9.781666667,,18.57142857,3.222222222,4.252865626,115100.0,15.1,0.057202433,66.5,0.026222894604135148,0.17661240172250758,0.3222222222,0.42528656260000003,less than 90 days,0.07765957446808511
21532,68.0,8.98,,,,,,,,,0.024205748865355523,0.15612461345804904,NA,NA,NA,NA
29601,161.5,13.02583333,,15.26717557,7.428571429,9.560143627,251100.0,12.85393258,0.081473517,69.75,0.0713565305093293,0.25952192312607014,0.7428571428999999,0.9560143627000001,less than 90 days,0.08457446808510638
47167,74.0,8.833333333,,,,,,,,,0.02723146747352496,0.15237632786424393,NA,NA,NA,NA
14048,38.25,6.328333333,,,,,,,,,0.009203227433182047,0.08835731383372945,NA,NA,NA,NA
15229,115.0,11.09083333,,10.34482759,0.111111111,3.833724624,156000.0,6.776180698,0.06650641,53.75,0.04790721129601614,0.2100701098929183,0.0111111111,0.3833724624,less than 60 days,0.05053191489361702
32317,136.0,13.135,,30.10752688,10.0,6.745615247,268000.0,4.402025711,0.037828358,71.0,0.05849722642460918,0.26231184032303406,1.0,0.6745615247,less than 90 days,0.08723404255319149
39051,68.0,8.7225,,,,,,,,,0.024205748865355523,0.1495438166066089,NA,NA,NA,NA
46807,59.08333333,8.3525,,24.13793103,7.142857143,0.485430189,75500.0,-1.820546164,0.164344371,50.75,0.019709194820978316,0.1400879143346367,0.7142857143,0.0485430189,less than 60 days,0.04414893617021277
8837,227.5833333,11.59833333,,10.78431373,0.977701544,1.784283939,316600.0,5.70951586,0.096355022,105.25,0.1046814590519415,0.2230400299010964,0.0977701544,0.1784283939,less than 120 days,0.1601063829787234
78739,155.9166667,15.13333333,452500.0,,,,,,,,0.06854093126575896,0.31338223133737125,NA,NA,NA,NA
97914,105.1666667,8.706666667,,,,,,,,,0.04294839470499243,0.14913917214853434,NA,NA,NA,NA
30707,79.16666667,9.4675,,16.66666667,5.833333333,3.798508493,113700.0,1.15658363,0.129656992,64.25,0.029836947387796266,0.16858340361368804,0.5833333332999999,0.3798508493,less than 90 days,0.07287234042553191
98467,197.5,16.35416667,420933.3333,14.47368421,4.64,7.13575473,412500.0,7.956032452,0.049997576,49.5,0.08951084215834594,0.3445824495898183,0.46399999999999997,0.713575473,less than 60 days,0.04148936170212766
35210,98.91666667,11.07833333,163766.6667,15.15151515,0.434782609,2.933296506,142700.0,11.39734582,0.018619481,48.0,0.03979660447302068,0.2097506537350814,0.043478260899999996,0.2933296506,less than 60 days,0.03829787234042553
90013,629.0,19.14083333,,,,,,,,,0.3071104387291982,0.41579987553988096,NA,NA,NA,NA
45206,126.8333333,10.42666667,,15.49295775,4.050632911,2.980941859,168900.0,5.5625,0.0639254,67.0,0.05387460075642966,0.19309633954356104,0.4050632911,0.29809418590000003,less than 90 days,0.07872340425531915
32091,67.16666667,8.09,,,,,,,,,0.023785510171457386,0.13337933502006183,NA,NA,NA,NA
65806,59.91666667,9.100833333,,,,,,,,,0.020129433519919315,0.15921268964195356,NA,NA,NA,NA
15226,93.16666667,10.36166667,,17.30769231,1.222222222,4.726557105,127000.0,11.30587204,0.060818898,56.25,0.03689695747352496,0.19143516752280917,0.12222222220000001,0.47265571050000005,less than 60 days,0.05585106382978723
