"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","95334","Livingston","CA","Merced, CA","Merced, CA",,6.82019058141141,,,,238700,-0.209030100334448,5.01539815222173,0.0541935483870968,,0.070859872611465,0.0224719101123595,77
"Zip","95336","Manteca","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,6.44593288219859,93.1,6.8015,0.6109,372800,-0.0804073974805682,5.51938862156807,0.0409656652360515,,0.044120142541999,0.0307692307692308,48.5
"Zip","95337","Manteca","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,6.97210330064908,95.45,1.8919,1.9627,423300,-0.117980179329873,5.06329113924051,0.0358634538152611,,0.0525123558484349,0.00392156862745098,49
"Zip","95338","Mariposa","CA",,,,7.79312249689269,,,,233100,0.08587376556462,10.7363420427553,0.0218103818103819,,0.114464099895942,0.00909090909090909,80.5
"Zip","95340","Merced","CA","Merced, CA","Merced, CA",,7.58113520232012,,,,246500,-0.202429149797571,7.92469352014011,0.0670628803245437,,0.0803273719308881,0.0188679245283019,62
"Zip","95341","Merced","CA","Merced, CA","Merced, CA",,9.20245822400221,,,,193600,-0.154718927282104,11.9722382880278,0.0812448347107437,,0.0960390667390125,0.0112994350282486,82.5
"Zip","95348","Merced","CA","Merced, CA","Merced, CA",,7.53418036182848,,,,268100,-0.297508367422834,7.80056292722155,0.0552555016784781,,0.0768930523028884,0.0101522842639594,91.5
"Zip","95350","Modesto","CA","Modesto, CA","Modesto, CA",,3.86686921695898,95.35,8.6177,2.6783,276500,-0.21652832912306,8.77261998426436,0.052119349005425,,0.0627319314366496,0.0197183098591549,46.5
"Zip","95351","Modesto","CA","Modesto, CA","Modesto, CA",,8.76122082585278,93.75,3.547,0.5592,226000,-0.176678445229682,11.5498519249753,0.0721858407079645,,0.0905463474524248,0.0169491525423729,59
"Zip","95354","Modesto","CA","Modesto, CA","Modesto, CA",,7.09915757492059,85.71,5.4963,2.0952,247700,-0.201450443190975,8.26048951048951,0.0650343157044813,,0.0702576112412178,0.00555555555555556,56
"Zip","95355","Modesto","CA","Modesto, CA","Modesto, CA",,7.04667863554758,91.43,5.4109,0.6143,322100,-0.0930521091811414,5.22704998366547,0.0526575597640484,,0.0571975916803503,0.0215311004784689,52
"Zip","95356","Modesto","CA","Modesto, CA","Modesto, CA",,6.45145698107996,92,4.8984,,345500,-0.173360300491188,6.37315270935961,0.0480086830680173,,0.060280759702725,0.0182648401826484,59.5
"Zip","95357","Modesto","CA","Modesto, CA","Modesto, CA",,7.0197486535009,100,6.25,,312400,-0.0639795265515035,4.97311827956989,0.059731113956466,,0.047891350964975,0.0597014925373134,53
"Zip","95358","Modesto","CA","Modesto, CA","Modesto, CA",,3.56028172904295,90,6.2778,,259300,-0.269230769230769,7.63802407638024,0.0575858079444658,,0.0904274108089014,0.015625,47.5
"Zip","95360","Newman","CA","Modesto, CA","Modesto, CA",,6.71178014086452,100,13.9423,3.0774,277300,-0.144040331292762,6.98302469135803,0.0593112152902993,,0.0655526992287918,0.0196078431372549,56
"Zip","95361","Oakdale","CA","Modesto, CA","Modesto, CA",,8.06656539152051,88,,,368400,-0.0271370420624152,6.65894614939201,0.0433441910966341,,0.0410549888031849,0.0121212121212121,63.5
"Zip","95363","Patterson","CA","Modesto, CA","Modesto, CA",,8.04930258251623,91.67,5.3251,0.8549,346400,0,10.0381194409149,0.053507505773672,,0.0822418519646664,0.0296296296296296,58.5
"Zip","95366","Ripon","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,5.78856511531556,90,2.7273,,440900,-0.181118406158026,3.08627542670096,0.0305443411204356,,0.0422106179286336,0.0309278350515464,69
"Zip","95367","Riverbank","CA","Modesto, CA","Modesto, CA",,6.14141693136307,93.75,8.135,0.876,316000,-0.378310214375788,4.94852208568582,0.0567816455696202,,0.0493430656934307,0.0118343195266272,56
"Zip","95368","Salida","CA","Modesto, CA","Modesto, CA",,6.31818809556691,100,15.1593,3.9471,327000,-0.152671755725191,7.28346456692913,0.0505535168195719,,0.0440528634361233,0.03,56
"Zip","95376","Tracy","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,6.6282281452838,97.14,3.4231,1.0586,427800,-0.140056022408964,6.28571428571429,0.0291701729780272,,0.0503894452392306,0.0189274447949527,45
"Zip","95377","Tracy","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,3.75776826405193,95.83,4.8634,1.0689,519200,-0.192233756247597,6.24104767751177,0.0226328967642526,,0.0597491448118586,0.0190839694656489,40.5
