Zip,PctPriceCut,BS_DaysOnMarket,BuyerSellerIndex,MarketHealthIndex,ZHVI,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,MH_DaysOnMarket,DaysOnMarket_Average
48176,17.87709497,59.5,5.833333333,4.812180638,313300.0,6.131436314,0.078506224,0.033673469,0.007575758,59.0,59.25
48130,14.20765027,60.0,3.75,7.502416793,331000.0,6.602254428,0.080202417,0.029731458,0.0,59.0,59.5
48189,22.0,56.0,9.166666667,6.775307278,236800.0,8.574048602,0.097871622,0.042699725,0.010752688,56.0,56.0
48118,15.87301587,66.0,7.5,8.402154399,270900.0,6.360424028,0.103499446,0.036660777,0.012048193,64.5,65.25
48160,19.48051948,69.0,10.0,2.465819638,182100.0,5.565217391,0.13501922,0.055894786,0.042016807,62.5,65.75
48158,14.03508772,82.0,6.666666667,7.054274272,217100.0,7.741935484,0.113740212,0.066666667,0.011904762,54.0,68.0
28806,23.07692308,58.0,3.6,6.535008977,244800.0,3.204047218,0.054174837,0.04681084,0.005847953,57.0,57.5
28803,21.76470588,62.0,3.2,7.146112415,281800.0,3.034734918,0.046937544,0.036101083,0.0,63.0,62.5
28792,16.66666667,59.0,1.2,5.868664549,210900.0,12.06163656,0.049393077,0.036470059,0.049382716,56.0,57.5
28715,26.58959538,72.5,8.4,7.041845049,229700.0,-0.777537797,0.045489769,0.040198511,0.0,85.0,78.75
28786,12.70491803,104.0,2.8,5.660129816,132100.0,20.20018198,0.108667676,0.106710671,0.015463918,76.5,90.25
28804,21.55963303,71.0,4.0,7.657782074,381000.0,0.501187022,0.040031496,0.034066408,0.0,87.0,79.0
28787,23.75690608,83.0,9.2,7.786907886,290000.0,3.719599428,0.046486207,0.030523256,0.0,82.5,82.75
28704,21.69312169,71.5,4.8,5.656677255,269300.0,3.41781874,0.051518752,0.034227567,0.0,69.0,70.25
28739,14.4200627,79.0,2.4,6.423836487,259800.0,6.781750925,0.046208622,0.035901573,0.0,75.0,77.0
28805,30.98591549,74.0,8.8,8.699765226,279400.0,3.213889915,0.045447387,0.030832477,0.0,76.0,75.0
28716,20.16129032,83.0,6.4,3.448418727,,,,0.100825472,0.029239766,78.0,80.5
28732,13.92405063,55.0,0.4,3.038254385,265300.0,6.717618665,0.04231813,0.041905602,0.010526316,51.0,53.0
28801,15.32258065,72.0,2.0,7.612898771,339700.0,7.2962729,0.058581101,0.038636364,0.029411765,68.0,70.0
28711,22.3880597,86.0,8.0,8.441513603,271200.0,9.39895119,0.030582596,0.037107517,0.0,79.5,82.75
28791,16.57142857,64.0,1.6,7.120563458,249400.0,8.105765063,0.042121091,0.028282828,0.0,62.0,63.0
28748,21.59090909,114.5,9.6,6.410026239,244000.0,-1.094446696,0.091565574,0.044072948,0.068965517,151.5,133.0
28721,16.03773585,86.0,5.2,5.377710261,129500.0,22.16981132,0.105505792,0.099552573,0.02247191,81.0,83.5
28778,23.4375,63.0,6.0,6.361690374,226000.0,2.773988176,0.091504425,0.028436019,0.0,59.5,61.25
28731,13.20754717,72.0,0.8,4.344013258,293900.0,8.731039586,0.046403539,0.027298851,0.052631579,61.0,66.5
28730,23.07692308,108.0,10.0,9.585002072,336400.0,7.510386705,0.047719976,0.038888889,0.0,94.0,101.0
28754,14.28571429,105.5,5.6,6.61510841,203200.0,3.409669211,0.094261811,0.070953437,0.03125,109.0,107.25
